"","TowID","StationID","TowNum","TowTime","Tide","BottomDepth","CableOut","Duration"
"1",429,206,3,1899-12-30 14:26:00,"2",3,50,10
"2",430,206,1,1899-12-30 13:57:00,"1",5,50,10
"3",431,207,1,1899-12-30 14:58:00,"2",34,150,10
"4",432,207,2,1899-12-30 15:14:00,"2",34,150,10
"5",433,207,3,1899-12-30 15:33:00,"2",34,150,10
"6",434,208,3,1899-12-30 13:15:00,"4",16,100,5
"7",435,208,1,1899-12-30 12:50:00,"4",16,100,5
"8",436,208,2,1899-12-30 13:03:00,"4",16,100,5
"9",437,209,3,1899-12-30 12:24:00,"4",10,75,10
"10",438,209,2,1899-12-30 12:06:00,"4",10,75,10
"11",439,209,1,1899-12-30 11:49:00,"4",10,75,10
"12",440,210,1,1899-12-30 09:07:00,"4",24,125,10
"13",441,210,2,1899-12-30 09:24:00,"4",24,125,10
"14",442,210,3,1899-12-30 09:24:00,"4",24,125,10
"15",443,211,1,1899-12-30 08:00:00,"3",35,150,10
"16",444,211,2,1899-12-30 08:18:00,"3",35,150,10
"17",445,211,3,1899-12-30 08:36:00,"3",35,150,10
"18",446,212,1,1899-12-30 10:25:00,"4",19,100,10
"19",447,212,2,1899-12-30 10:40:00,"4",19,100,10
"20",448,212,3,1899-12-30 11:02:00,"4",19,100,10
"21",449,213,1,1899-12-30 14:47:00,"4",35,150,10
"22",450,213,2,1899-12-30 15:05:00,"4",35,150,10
"23",451,213,3,1899-12-30 15:22:00,"1",35,150,10
"24",452,214,1,1899-12-30 13:46:00,"4",6,50,10
"25",453,214,2,1899-12-30 14:02:00,"4",6,50,10
"26",454,214,3,1899-12-30 14:19:00,"4",6,50,10
"27",455,215,2,1899-12-30 13:09:00,"4",25,125,10
"28",456,215,3,1899-12-30 13:24:00,"4",25,125,10
"29",457,215,1,1899-12-30 12:50:00,"4",25,125,10
"30",458,216,2,1899-12-30 11:13:00,"4",19,100,10
"31",459,216,3,1899-12-30 11:29:00,"4",19,100,10
"32",460,216,1,1899-12-30 10:55:00,"4",19,100,10
"33",461,217,1,1899-12-30 11:48:00,"4",31,150,10
"34",462,217,2,1899-12-30 12:13:00,"4",31,150,10
"35",463,217,3,1899-12-30 12:28:00,"4",31,150,10
"36",464,218,3,1899-12-30 10:31:00,"3",30,150,10
"37",465,218,1,1899-12-30 09:58:00,"2",30,150,10
"38",466,218,2,1899-12-30 10:14:00,"3",30,150,10
"39",467,219,3,1899-12-30 09:27:00,"2",12,75,10
"40",468,219,1,1899-12-30 08:54:00,"2",12,75,10
"41",469,219,2,1899-12-30 09:11:00,"2",12,75,10
"42",470,220,1,1899-12-30 07:53:00,"2",35,150,10
"43",471,220,2,1899-12-30 08:08:00,"2",35,150,10
"44",472,220,3,1899-12-30 08:27:00,"2",35,150,10
"45",473,221,1,1899-12-30 13:49:00,"4",15,75,10
"46",474,221,2,1899-12-30 14:06:00,"4",15,75,10
"47",475,221,3,1899-12-30 14:24:00,"4",15,75,10
"48",476,222,1,1899-12-30 12:59:00,"4",34,150,10
"49",477,222,2,1899-12-30 13:16:00,"4",34,150,5
"50",478,222,3,1899-12-30 13:31:00,"4",34,150,5
"51",479,223,1,1899-12-30 12:02:00,"4",6,50,10
"52",480,223,2,1899-12-30 12:18:00,"4",6,50,10
"53",481,223,3,1899-12-30 12:33:00,"4",6,50,10
"54",482,224,1,1899-12-30 10:48:00,"4",21,100,10
"55",483,224,2,1899-12-30 11:07:00,"4",21,100,10
"56",484,224,3,1899-12-30 11:24:00,"4",21,100,10
"57",485,225,2,1899-12-30 09:56:00,"3",24,150,10
"58",486,225,3,1899-12-30 10:14:00,"4",24,150,10
"59",487,225,1,1899-12-30 09:40:00,"3",24,150,10
"60",488,226,2,1899-12-30 08:46:00,"2",10,50,10
