"Phase","Week","Week_num","WeekStartDate","WeekEndDate","Stratum","NumOfSites","NumOfTows","RawCatch","TotalRawSampleVolume","AdjCatch","TotalEffSampleVolume","StratumVolume","nHat","nVar","nSE","lowCI","uppCI","SpatialCoverage"
"17_1","Week.1",1,2016-12-15,2016-12-22,"low.risk,high.density",11,34,12,96578.57264748,12,69751.1913565133,480724148,85591.7112814789,912495356.661957,30207.5380768105,41238,157972,""
"17_1","Week.1",1,2016-12-15,2016-12-22,"low.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"17_1","Week.1",1,2016-12-15,2016-12-22,"high.risk,high.density",12,53,7,546222.23510316,7,394493.836463393,68806137,3174.37497768036,2526909.55046884,1589.62560072139,1123,7173,""
"17_1","Week.1",1,2016-12-15,2016-12-22,"high.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"17_1","Week.1",1,2016-12-15,2016-12-22,"Total",23,87,19,642800.80775064,19,464245.027819907,NA,88766.0862591593,915022266.212426,30249.3349714076,43878,160890,"Partial"
"17_1","Week.2",2,2016-12-27,2016-12-29,"low.risk,high.density",6,17,17,31625.93237958,17,22840.95116303,480724148,429027.143805238,49848021001.3993,223266.703745541,145793,993460,""
"17_1","Week.2",2,2016-12-27,2016-12-29,"low.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"17_1","Week.2",2,2016-12-27,2016-12-29,"high.risk,high.density",10,34,7,95644.61201295,7,69076.664231575,68806137,10333.7725466565,29407159.7886199,5422.83687645313,3480,24058,""
"17_1","Week.2",2,2016-12-27,2016-12-29,"high.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"17_1","Week.2",2,2016-12-27,2016-12-29,"Total",16,51,24,127270.54439253,24,91917.615394605,NA,439360.916351895,49877428161.1879,223332.550608253,153055,1002266,"Partial"
"17_1","Week.3",3,2016-12-30,2017-01-05,"low.risk,high.density",9,34,8,98174.5450686,8,70903.8381051,480724148,159064.43596684,16507360376.1313,128480.972817501,30851,496309,""
"17_1","Week.3",3,2016-12-30,2017-01-05,"low.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"17_1","Week.3",3,2016-12-30,2017-01-05,"high.risk,high.density",14,41,19,112651.41230266,19,81359.3533296989,68806137,21796.1897099524,52180333.1327067,7223.59558202885,10989,38953,""
"17_1","Week.3",3,2016-12-30,2017-01-05,"high.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"17_1","Week.3",3,2016-12-30,2017-01-05,"Total",23,75,27,210825.95737126,27,152263.191434799,NA,180860.625676792,16559540709.2641,128683.878979708,42035,516628,"Partial"
"17_1","Week.4",4,2017-01-06,2017-01-12,"low.risk,high.density",3,11,6,25341.453984,6,18302.1612106667,480724148,231020.313972918,23238593008.7177,152442.097232745,59348,626491,""
"17_1","Week.4",4,2017-01-06,2017-01-12,"low.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"17_1","Week.4",4,2017-01-06,2017-01-12,"high.risk,high.density",11,47,4,172040.5025955,4,124251.47409675,68806137,2215.18342128787,1226937.4793479,1107.6720992008,785,5001,""
"17_1","Week.4",4,2017-01-06,2017-01-12,"high.risk,low.density",7,52,3,208043.90156088,3,150253.92890508,183951788,4671.87846886025,19021642.059844,4361.38075153317,724,16116,""
"17_1","Week.4",4,2017-01-06,2017-01-12,"Total",21,110,13,405425.85814038,13,292807.564212497,NA,237907.375863066,23258841588.2569,152508.496773973,63420,632528,"Partial"
"17_1","Week.5",5,2017-01-17,2017-01-19,"low.risk,high.density",8,32,4,69342.91237566,4,50080.99227131,480724148,64626.4371877416,2209926069.31196,47009.8507688756,14570,187459,""
"17_1","Week.5",5,2017-01-17,2017-01-19,"low.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"17_1","Week.5",5,2017-01-17,2017-01-19,"high.risk,high.density",8,40,4,129056.998952805,4,93207.8325770258,68806137,3289.11276948749,5126570.30991056,2264.19308141125,799,9183,""
"17_1","Week.5",5,2017-01-17,2017-01-19,"high.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"17_1","Week.5",5,2017-01-17,2017-01-19,"Total",16,72,8,198399.911328465,8,143288.824848336,NA,67915.5499572291,2215052639.62187,47064.3457366812,16358,190491,"Partial"
"17_1","Week.6",6,2017-01-23,2017-01-26,"low.risk,high.density",12,52,8,76993.87475934,8,55606.68732619,480724148,124363.27204363,5415714591.19448,73591.5388560022,36568,313254,""
"17_1","Week.6",6,2017-01-23,2017-01-26,"low.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"17_1","Week.6",6,2017-01-23,2017-01-26,"high.risk,high.density",11,49,3,159530.85559026,3,115216.72903741,68806137,1791.70433251148,1070277.69204054,1034.54226208529,542,4440,""
"17_1","Week.6",6,2017-01-23,2017-01-26,"high.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"17_1","Week.6",6,2017-01-23,2017-01-26,"Total",23,101,11,236524.7303496,11,170823.4163636,NA,126154.976376142,5416784868.88652,73598.8102409714,37722,314771,"Partial"
"17_1","Week.7",7,2017-01-30,2017-02-02,"low.risk,high.density",6,25,2,54696.76512762,2,39503.2192588367,480724148,56905.564605576,4339859682.1601,65877.6113877856,6105,226676,""
"17_1","Week.7",7,2017-01-30,2017-02-02,"low.risk,low.density",7,50,1,224415.0874119,1,162077.563130817,364627559,6074.67820437974,83497851.5087613,9137.71588028219,399,28339,""
"17_1","Week.7",7,2017-01-30,2017-02-02,"high.risk,high.density",6,28,1,97402.16990196,1,70346.01159586,68806137,978.61370118187,958887.280133485,979.227899997485,135,3540,""
"17_1","Week.7",7,2017-01-30,2017-02-02,"high.risk,low.density",2,16,0,51683.08663056,0,37326.6736776267,183951788,0,NA,NA,NA,NA,""
"17_1","Week.7",7,2017-01-30,2017-02-02,"Total",21,119,4,428197.10907204,4,309253.46766314,NA,63958.8565111376,4424316420.94899,66515.5351850152,8277,237423,"Full"
"17_1","Week.8",8,2017-02-06,2017-02-09,"low.risk,high.density",7,27,5,51931.10937168,5,37505.80121288,480724148,64815.3835709494,1117045297.88849,33422.2276021287,22241,149211,""
"17_1","Week.8",8,2017-02-06,2017-02-09,"low.risk,low.density",6,34,4,160377.70497672,4,115828.342483187,364627559,17127.7160166743,180547610.499098,13436.8006050212,3468,52365,""
"17_1","Week.8",8,2017-02-06,2017-02-09,"high.risk,high.density",6,21,2,60646.27802772,2,43800.0896866867,68806137,3142.4049513332,4944008.2810369,2223.51259970275,736,8942,""
"17_1","Week.8",8,2017-02-06,2017-02-09,"high.risk,low.density",7,55,0,186552.19186296,0,134732.138567693,183951788,0,NA,NA,NA,NA,""
"17_1","Week.8",8,2017-02-06,2017-02-09,"Total",26,137,11,459507.28423908,11,331866.371950447,NA,85085.5045389569,1302536916.66863,36090.6763121533,35294,173843,"Full"
"17_1","Week.9",9,2017-02-10,2017-02-16,"low.risk,high.density",7,32,0,68175.9249402,0,49238.1680123667,480724148,0,NA,NA,NA,NA,""
"17_1","Week.9",9,2017-02-10,2017-02-16,"low.risk,low.density",10,48,6,225561.85560216,6,162905.78460156,364627559,15300.3966099683,92630803.2159177,9624.48976392607,4177,40160,""
"17_1","Week.9",9,2017-02-10,2017-02-16,"high.risk,high.density",10,47,1,161993.89664304,1,116995.592019973,68806137,874.091522557153,2333479.04888882,1527.57292751895,43,4412,""
