Station,StationID,Date,Time,SampleDescription,FieldNotes,Weather,NorthLat,WestLong,Chla,Pheophytin,DissAmmonia,DissCalcium,DissChloride,DissNitrateNitrite,DOC,TOC,DON,DissOrthoPhos,TotPhos,DissSilica,TDS,TSS,VSS,TKN,Depth,Secchi,Microcystis,SpCndSurface,FluorescenceSurface,DOSurface,WTSurface,TurbiditySurface,pHSurface,SpCndBottom,FluorescenceBottom,DOBottom,WTBottom,TurbidityBottom,pHBottom
C3,B9D82071328,2000-01-10,09:50,,N/A,"Sunny, calm, cool",N/A,N/A,ND,ND,0.37,N/A,8,0.14,N/A,N/A,0.1,0.04,0.08,19.2,103,6,1,0.7,15,120,N/A,179,N/A,10.4,8.96,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2000-02-10,10:00,,N/A,"Cloudy, windy, earlier heavy rain.",N/A,N/A,1.57,1.65,0.12,N/A,7,0.2,N/A,N/A,0.2,0.04,0.09,21,106,39,6,0.5,18,38,N/A,160,N/A,9.7,11.18,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2000-03-10,12:20,,N/A,N/A,N/A,N/A,1.72,1.03,0.06,N/A,3,0.12,N/A,N/A,0.1,0.02,0.06,18.3,74,15,3,0.3,26,50,N/A,119,N/A,9,13,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2000-04-07,08:40,,N/A,"Clear, light breeze",N/A,N/A,5.52,1.26,0.25,N/A,5,0.14,N/A,N/A,0.1,0.03,0.05,17.4,93,12,4,0.6,18.5,116,N/A,144,N/A,9.1,15.84,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2000-05-08,07:50,,N/A,"Overcast, Cool, Calm",N/A,N/A,3.14,1.28,0.24,N/A,5,0.08,N/A,N/A,0.1,0.02,0.07,16.9,65,14,4,0.5,18,80,N/A,133,N/A,9.2,15.3,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2000-06-06,08:40,,N/A,"Calm, warm, sunny",N/A,N/A,3.74,1.15,0.34,N/A,4,0.1,N/A,N/A,0.1,0.05,0.08,17.5,89,10,3,0.6,17.5,100,N/A,130,N/A,8.4,20.1,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2000-07-05,08:30,,N/A,"overcast, warm, light breeze",N/A,N/A,3.08,1.16,0.26,N/A,4,0.07,N/A,N/A,0.1,0.05,0.08,17,80,10,2,0.5,18,82,N/A,135,N/A,7.6,20,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2000-08-03,08:15,,N/A,"Warm, light breeze",N/A,N/A,2.64,1.13,0.22,N/A,5,0.07,N/A,N/A,0.1,0.05,0.08,17.4,79,10,2,0.4,17,100,N/A,145,N/A,8.1,22,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2000-09-01,08:00,,N/A,"Overcast, cool",N/A,N/A,2.3,1.66,0.32,N/A,5,0.08,N/A,N/A,0.1,0.06,0.09,18.2,98,8,2,0.7,17.3,84,N/A,183,N/A,8.4,18.84,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2000-10-19,11:40,,Clear water,"Warm, Calm",N/A,N/A,2.29,1.24,0.09,N/A,6,0.1,N/A,N/A,0.7,0.04,0.08,18.3,98,7,2,1,16,120,N/A,160,N/A,8.9,17.5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2000-11-01,10:20,,E.C. reading 4.7% high,"Beautiful - calm ,warm",N/A,N/A,0.86,3.39,0.25,N/A,7,0.17,N/A,N/A,0.3,0.05,0.1,19.3,110,7,ND,0.6,16,100,N/A,189,N/A,8.9,13.5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2000-12-01,10:45,,Water smells like it has high sulfer content,"Cool, overcast, light breeze",N/A,N/A,2.02,1.34,0.46,N/A,8,0.16,N/A,N/A,0.2,0.07,0.11,21,122,5,ND,0.8,16,100,N/A,206,N/A,9.5,10.9,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2001-01-02,12:50,,N/A,"Overcast, cool, light winds",N/A,N/A,2.4,1.26,0.42,N/A,8,0.14,N/A,N/A,0.2,0.04,0.07,19.4,107,6,1,0.7,16,104,N/A,195,N/A,10.8,8.9,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2001-02-13,10:50,,N/A,"Windy, Cold",N/A,N/A,4.58,2.2,0.2,N/A,12,0.29,N/A,N/A,0.2,0.05,0.11,19.3,124,37,7,0.6,17,40,N/A,226,N/A,10.7,8.1,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2001-03-13,09:20,,N/A,"Warm, calm, sunny",N/A,N/A,2.22,1.18,0.19,N/A,8,0.22,N/A,N/A,0.2,0.05,0.14,17.9,134,65,5,0.7,18,24,N/A,215,N/A,9.1,12.8,42,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2001-04-11,12:00,,N/A,"Partly sunny, cool breeze",N/A,N/A,2.47,1.13,0.46,N/A,6,0.18,N/A,N/A,0.3,0.06,0.08,18.9,122,11,4,0.9,17,96,N/A,192,N/A,9.9,13.4,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C3,B9D82071328,2001-05-14,10:00,,N/A,"Warm, sunny, light breeze",N/A,N/A,5.7,2.9,0.65,N/A,9,0.17,N/A,N/A,0.2,0.06,0.1,16.1,127,11,1,1,17,100,N/A,211,N/A,7.8,21.3,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
